keyword,is_data_found,volume,cpc,competition,difficulty,intents
serp api,True,3100,2.92,0.61,66,"I,N"
best serp api,True,140,7.83,0.04,35,I
serp api pricing,True,10,1.34,0.52,33,I
serp api comparison,True,0,0,0,20,I
google serp api,True,590,3,0.43,47,"I,N"
seo api,True,480,8.36,0.22,42,I
best seo api,True,90,12.79,0.28,19,I
seo data api,True,140,11.27,0.12,0,I
seo api pricing,False,,,,,
keyword api,True,90,2.8,0.07,34,I
keyword research api,True,90,4.96,0.11,34,I
keyword data api,True,40,0,0.01,27,I
best keyword api,False,,,,,
keyword search volume api,True,40,0,0,27,I
rank tracking api,True,10,8.4,0.02,14,I
rank tracker api,True,20,8.4,0.02,14,I
keyword rank tracking api,True,20,0,0,26,I
google rank tracking api,True,260,0,0,20,I
backlink api,True,140,9.22,0.08,24,I
best backlink api,False,,,,,
backlink data api,False,,,,,
backlink checker api,True,70,0,0.05,24,"I,N"
ai search api,False,,,,,
best ai search api,False,,,,,
ai search data api,False,,,,,
ai search visibility,True,480,16.5,0.26,36,I
ai visibility tools,True,1000,15,0.28,60,I
ai visibility api,True,10,0,0.79,12,I
llm visibility tools,True,10,14.52,0.09,39,I
llm tracking tools,True,70,9.72,0.1,34,I
chatgpt visibility tools,False,,,,,
chatgpt rank tracker,True,70,0,0.03,15,I
dataforseo,True,1800,0.45,0.52,75,"I,N"
dataforseo review,False,,,,,
dataforseo pricing,True,50,0.41,0.39,25,"I,N"
dataforseo alternatives,True,30,5.71,0.39,13,I
dataforseo api,True,260,0.57,0.62,32,"I,N"
se ranking api,True,320,4,0.16,20,"I,N"
se ranking review,True,10,4,0.05,31,I
se ranking pricing,True,590,4,0.26,20,I
se ranking alternatives,True,70,11.09,0.08,16,I
mangools api,True,10,13.06,0.51,37,I
mangools review,True,140,2.99,0.05,21,I
mangools pricing,True,30,5.08,0.52,23,"I,N"
mangools alternatives,True,110,7.72,0.04,14,I
